Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked;Clase_baja
0;3;male;22,0000000000000;1;0;7,2500;S;TRUE
1;3;female;26,0000000000000;0;0;7,9250;S;TRUE
1;1;female;35,0000000000000;1;0;53,1000;S;FALSE
0;3;male;35,0000000000000;0;0;8,0500;S;TRUE
0;3;male;29,6792717086835;0;0;8,4583;Q;TRUE
0;1;male;54,0000000000000;0;0;51,8625;S;FALSE
0;3;male;2,0000000000000;3;1;21,0750;S;TRUE
1;3;female;27,0000000000000;0;2;11,1333;S;TRUE
1;2;female;14,0000000000000;1;0;30,0708;C;FALSE
1;3;female;4,0000000000000;1;1;16,7000;S;TRUE
1;1;female;58,0000000000000;0;0;26,5500;S;FALSE
0;3;male;20,0000000000000;0;0;8,0500;S;TRUE
0;3;male;39,0000000000000;1;5;31,2750;S;TRUE
0;3;female;14,0000000000000;0;0;7,8542;S;TRUE
1;2;female;55,0000000000000;0;0;16,0000;S;FALSE
0;3;male;2,0000000000000;4;1;29,1250;Q;TRUE
1;2;male;29,6792717086835;0;0;13,0000;S;FALSE
0;3;female;31,0000000000000;1;0;18,0000;S;TRUE
1;3;female;29,6792717086835;0;0;7,2250;C;TRUE
0;2;male;35,0000000000000;0;0;26,0000;S;FALSE
1;2;male;34,0000000000000;0;0;13,0000;S;FALSE
1;3;female;15,0000000000000;0;0;8,0292;Q;TRUE
1;1;male;28,0000000000000;0;0;35,5000;S;FALSE
0;3;female;8,0000000000000;3;1;21,0750;S;TRUE
1;3;female;38,0000000000000;1;5;31,3875;S;TRUE
0;3;male;29,6792717086835;0;0;7,2250;C;TRUE
1;3;female;29,6792717086835;0;0;7,8792;Q;TRUE
0;3;male;29,6792717086835;0;0;7,8958;S;TRUE
0;1;male;40,0000000000000;0;0;27,7208;C;FALSE
1;3;female;29,6792717086835;0;0;7,7500;Q;TRUE
0;2;male;66,0000000000000;0;0;10,5000;S;FALSE
0;1;male;42,0000000000000;1;0;52,0000;S;FALSE
1;3;male;29,6792717086835;0;0;7,2292;C;TRUE
0;3;male;21,0000000000000;0;0;8,0500;S;TRUE
0;3;female;18,0000000000000;2;0;18,0000;S;TRUE
1;3;female;14,0000000000000;1;0;11,2417;C;TRUE
0;3;female;40,0000000000000;1;0;9,4750;S;TRUE
0;2;female;27,0000000000000;1;0;21,0000;S;FALSE
0;3;male;29,6792717086835;0;0;7,8958;C;TRUE
1;2;female;3,0000000000000;1;2;41,5792;C;FALSE
1;3;female;19,0000000000000;0;0;7,8792;Q;TRUE
0;3;male;29,6792717086835;0;0;8,0500;S;TRUE
0;3;male;29,6792717086835;1;0;15,5000;Q;TRUE
1;3;female;29,6792717086835;0;0;7,7500;Q;TRUE
0;3;male;29,6792717086835;2;0;21,6792;C;TRUE
0;3;female;18,0000000000000;1;0;17,8000;S;TRUE
0;3;male;7,0000000000000;4;1;39,6875;S;TRUE
0;3;male;21,0000000000000;0;0;7,8000;S;TRUE
1;2;female;29,0000000000000;1;0;26,0000;S;FALSE
0;1;male;65,0000000000000;0;1;61,9792;C;FALSE
1;1;male;29,6792717086835;0;0;35,5000;S;FALSE
1;2;female;21,0000000000000;0;0;10,5000;S;FALSE
0;3;male;28,0000000000000;0;0;7,2292;C;TRUE
1;2;female;5,0000000000000;1;2;27,7500;S;FALSE
0;3;male;11,0000000000000;5;2;46,9000;S;TRUE
0;3;male;22,0000000000000;0;0;7,2292;C;TRUE
0;3;male;4,0000000000000;3;2;27,9000;S;TRUE
0;1;male;29,6792717086835;0;0;27,7208;C;FALSE
1;3;male;29,6792717086835;1;1;15,2458;C;TRUE
1;2;female;29,0000000000000;0;0;10,5000;S;FALSE
0;3;male;19,0000000000000;0;0;8,1583;S;TRUE
1;3;female;17,0000000000000;4;2;7,9250;S;TRUE
0;3;male;26,0000000000000;2;0;8,6625;S;TRUE
0;2;male;32,0000000000000;0;0;10,5000;S;FALSE
0;3;female;16,0000000000000;5;2;46,9000;S;TRUE
0;3;male;26,0000000000000;1;0;14,4542;C;TRUE
1;3;male;32,0000000000000;0;0;56,4958;S;TRUE
0;3;male;25,0000000000000;0;0;7,6500;S;TRUE
0;3;male;29,6792717086835;0;0;7,8958;S;TRUE
0;3;male;29,6792717086835;0;0;8,0500;S;TRUE
1;2;male;0,0000000000000;0;2;29,0000;S;FALSE
1;3;female;30,0000000000000;0;0;12,4750;S;TRUE
